# 1   2   3    4              5                6         7            8           9    
# Mu, T, <N>, <d>, <d_0s_rs_r+1> at r=n.n., r=n.n.n, r=3rd n.n., r=4th n.n., r=5th n.n.
  -0.90667E+01   0.60000E+00   0.21811E-04  -0.48859E-14   0.13501E-28   0.27633E-30   0.52569E-30   0.10863E-30  -0.32645E-32
  -0.90667E+01   0.67032E+00   0.61143E-04  -0.57302E-12   0.50197E-26   0.66729E-28   0.16013E-27   0.37500E-28  -0.12319E-29
  -0.90667E+01   0.70000E+00   0.88875E-04   0.47178E-11   0.41520E-25   0.48586E-27   0.12853E-26   0.31342E-27  -0.10666E-28
  -0.90667E+01   0.80000E+00   0.25793E-03   0.10144E-10   0.15682E-22   0.13284E-24   0.48136E-24   0.12947E-24  -0.48857E-26
  -0.90667E+01   0.85214E+00   0.40967E-03   0.27016E-10   0.19885E-21   0.14802E-23   0.62324E-23   0.17345E-23  -0.68327E-25
  -0.90667E+01   0.90000E+00   0.59971E-03   0.61846E-10   0.15855E-20   0.10661E-22   0.50904E-22   0.14511E-22  -0.59064E-24
  -0.90667E+01   0.10000E+01   0.11934E-02   0.27046E-09   0.65032E-19   0.37078E-21   0.21989E-20   0.64805E-21  -0.27707E-22
  -0.90667E+01   0.10833E+01   0.19370E-02   0.73959E-09   0.86579E-18   0.45293E-20   0.30401E-19   0.90958E-20  -0.39817E-21
  -0.90667E+01   0.11735E+01   0.30496E-02   0.18531E-08   0.96137E-17   0.48445E-19   0.34895E-18   0.10514E-18  -0.46554E-20
  -0.90667E+01   0.12712E+01   0.46655E-02   0.43080E-08   0.90116E-16   0.46504E-18   0.33660E-17   0.10136E-17  -0.44870E-19
  -0.90667E+01   0.13771E+01   0.69472E-02   0.93873E-08   0.71810E-15   0.40682E-17   0.27582E-16   0.82407E-17  -0.36101E-18
  -0.90667E+01   0.14918E+01   0.10083E-01   0.19317E-07   0.48655E-14   0.32610E-16   0.19376E-15   0.57034E-16  -0.24537E-17
  -0.90667E+01   0.16161E+01   0.14282E-01   0.37744E-07   0.27800E-13   0.23921E-15   0.11750E-14   0.33856E-15  -0.14250E-16
  -0.90667E+01   0.17507E+01   0.19765E-01   0.70316E-07   0.13185E-12   0.15981E-14   0.61757E-14   0.17329E-14  -0.71483E-16
  -0.90667E+01   0.18965E+01   0.26753E-01   0.12531E-06   0.51111E-12   0.96328E-14   0.28141E-13   0.76677E-14  -0.31311E-15
  -0.90667E+01   0.20544E+01   0.35454E-01   0.21420E-06   0.16154E-11   0.51267E-13   0.11071E-12   0.29330E-13  -0.12110E-14
  -0.90667E+01   0.22255E+01   0.46043E-01   0.35208E-06   0.42390E-11   0.23026E-12   0.37317E-12   0.96770E-13  -0.41874E-14
  -0.90667E+01   0.24109E+01   0.58650E-01   0.55769E-06   0.95349E-11   0.81779E-12   0.10687E-11   0.27464E-12  -0.13148E-13
  -0.90667E+01   0.26117E+01   0.73344E-01   0.85298E-06   0.18995E-10   0.22131E-11   0.25925E-11   0.67007E-12  -0.38326E-13
  -0.90667E+01   0.28292E+01   0.90120E-01   0.12622E-05   0.34408E-10   0.47375E-11   0.53610E-11   0.14111E-11  -0.10766E-12
  -0.90667E+01   0.30649E+01   0.10890E+00   0.18101E-05   0.57758E-10   0.86679E-11   0.96029E-11   0.25900E-11  -0.31625E-12
  -0.90667E+01   0.33201E+01   0.12952E+00   0.25203E-05   0.91082E-10   0.14412E-10   0.15212E-10   0.42006E-11  -0.13096E-11
  -0.90667E+01   0.35966E+01   0.15175E+00   0.34127E-05   0.13632E-09   0.22519E-10   0.21743E-10   0.61131E-11   0.41914E-11
  -0.90667E+01   0.38962E+01   0.17531E+00   0.45014E-05   0.19521E-09   0.33587E-10   0.28518E-10   0.80999E-11   0.14562E-11
  -0.90667E+01   0.42207E+01   0.19987E+00   0.57929E-05   0.26917E-09   0.48171E-10   0.34774E-10   0.98953E-11   0.11041E-11
  -0.90667E+01   0.45722E+01   0.22507E+00   0.72853E-05   0.35924E-09   0.66677E-10   0.39812E-10   0.11262E-10   0.97193E-12
  -0.90667E+01   0.49530E+01   0.25058E+00   0.89681E-05   0.46588E-09   0.89274E-10   0.43129E-10   0.12044E-10   0.89709E-12
  -0.90667E+01   0.53656E+01   0.27605E+00   0.10823E-04   0.58879E-09   0.11582E-09   0.44491E-10   0.12185E-10   0.83921E-12
  -0.90667E+01   0.58124E+01   0.30118E+00   0.12824E-04   0.72671E-09   0.14584E-09   0.43934E-10   0.11728E-10   0.78403E-12
  -0.90667E+01   0.62965E+01   0.32571E+00   0.14943E-04   0.87729E-09   0.17853E-09   0.41724E-10   0.10787E-10   0.72634E-12
  -0.90667E+01   0.68210E+01   0.34943E+00   0.17148E-04   0.10371E-08   0.21283E-09   0.38264E-10   0.95150E-11   0.66624E-12
  -0.90667E+01   0.73891E+01   0.37217E+00   0.19410E-04   0.11999E-08   0.24753E-09   0.34009E-10   0.80667E-11   0.61211E-12
  -0.86000E+01   0.14661E+00  -0.12396E-20   0.14677E-50  -0.63792E-93   0.19707E-96   0.15232E-96   0.30555E-98  -0.30216-101
  -0.86000E+01   0.15882E+00  -0.69355E-19   0.15980E-46  -0.41760E-86   0.18288E-89   0.14248E-89   0.30245E-91  -0.56431E-94
  -0.86000E+01   0.17204E+00  -0.30460E-17  -0.10228E-42  -0.79523E-80   0.48253E-83   0.37972E-83   0.86264E-85  -0.26566E-87
  -0.86000E+01   0.18637E+00  -0.10827E-15  -0.31683E-40  -0.48283E-74   0.39799E-77   0.31699E-77   0.78042E-79  -0.36469E-81
  -0.86000E+01   0.20000E+00  -0.21837E-14  -0.73534E-38  -0.25250E-69   0.26891E-72   0.21686E-72   0.57962E-74  -0.37092E-76
  -0.86000E+01   0.21871E+00  -0.86334E-13  -0.55046E-35  -0.80528E-64   0.11688E-66   0.96002E-67   0.28932E-68  -0.25930E-70
  -0.86000E+01   0.23693E+00  -0.23525E-11  -0.14300E-32  -0.25740E-59   0.48754E-62   0.40816E-62   0.13909E-63  -0.15969E-65
  -0.86000E+01   0.25666E+00  -0.14553E-09  -0.26200E-30  -0.35538E-55   0.87328E-58   0.74733E-58   0.29218E-59  -0.40977E-61
  -0.86000E+01   0.27804E+00   0.53061E-09  -0.34272E-28  -0.22542E-51   0.71782E-54   0.63018E-54   0.28653E-55  -0.46989E-57
  -0.86000E+01   0.30000E+00   0.18742E-08  -0.26204E-26  -0.47374E-48   0.19385E-50   0.17512E-50   0.92926E-52  -0.17065E-53
  -0.86000E+01   0.32628E+00   0.96749E-08  -0.23092E-24  -0.10924E-44   0.59764E-47   0.56088E-47   0.35642E-48  -0.71811E-50
  -0.86000E+01   0.35345E+00   0.44697E-07  -0.12435E-22  -0.91371E-42   0.67632E-44   0.66382E-44   0.50374E-45  -0.10836E-46
  -0.86000E+01   0.38289E+00   0.18462E-06  -0.52143E-21  -0.41833E-39   0.43860E-41   0.45506E-41   0.41284E-42  -0.93519E-44
  -0.86000E+01   0.40000E+00   0.37755E-06  -0.36431E-20  -0.92485E-38   0.12118E-39   0.13030E-39   0.13017E-40  -0.30237E-42
  -0.86000E+01   0.44933E+00   0.20445E-05  -0.47613E-18  -0.13526E-34   0.41518E-36   0.50199E-36   0.64090E-37  -0.15874E-38
  -0.86000E+01   0.50000E+00   0.75517E-05  -0.30190E-16   0.30200E-33   0.32854E-33   0.45683E-33   0.71445E-34  -0.18858E-35
  -0.86000E+01   0.52729E+00   0.13479E-04  -0.21693E-15   0.11096E-30   0.70032E-32   0.10567E-31   0.18092E-32  -0.49455E-34
  -0.86000E+01   0.57121E+00   0.30046E-04  -0.39262E-14   0.19077E-28   0.51944E-30   0.89994E-30   0.17406E-30  -0.50376E-32
  -0.86000E+01   0.60000E+00   0.47464E-04  -0.23145E-13   0.30311E-27   0.62025E-29   0.11800E-28   0.24382E-29  -0.73273E-31
  -0.86000E+01   0.67032E+00   0.12261E-03  -0.23032E-11   0.81322E-25   0.10807E-26   0.25934E-26   0.60733E-27  -0.19950E-28
  -0.86000E+01   0.70000E+00   0.17301E-03   0.17965E-10   0.59777E-24   0.69927E-26   0.18498E-25   0.45107E-26  -0.15349E-27
  -0.86000E+01   0.80000E+00   0.46169E-03   0.32572E-10   0.16182E-21   0.13698E-23   0.49637E-23   0.13351E-23  -0.50370E-25
  -0.86000E+01   0.85214E+00   0.70731E-03   0.80714E-10   0.17791E-20   0.13233E-22   0.55713E-22   0.15505E-22  -0.61063E-24
  -0.86000E+01   0.90000E+00   0.10053E-02   0.17418E-09   0.12628E-19   0.84817E-22   0.40498E-21   0.11544E-21  -0.46975E-23
  -0.86000E+01   0.10000E+01   0.18974E-02   0.68510E-09   0.42103E-18   0.23966E-20   0.14213E-19   0.41889E-20  -0.17901E-21
  -0.86000E+01   0.10833E+01   0.29683E-02   0.17398E-08   0.48565E-17   0.25351E-19   0.17018E-18   0.50919E-19  -0.22276E-20
