T,E,a,b,c
4.677,-1156.51075197,71.7144041783,287.054696769,659.059402123
4.693,-1153.74672616,70.2520003039,286.74011741,593.939038182
4.709,-1146.22331634,70.2237371377,283.85754844,595.892595725
4.725,-1143.22295647,69.1949729155,282.524907236,603.108412515
4.741,-1138.08293311,71.8609614809,276.162875335,610.377513824
4.757,-1132.44674852,69.1201288243,276.955874758,558.712735184
4.773,-1128.93817568,69.1612766617,277.510898243,578.00400197
4.789,-1125.5948991,68.9022979263,273.841508559,568.952785611
4.805,-1121.64785858,69.1158646326,261.222910826,573.143559292
4.821,-1116.28421208,68.1451980067,262.301679295,543.23949576
4.837,-1111.83722279,68.8967653826,262.859847777,547.517320269
4.853,-1109.79851099,69.4669113301,265.157661189,554.44790533
4.869,-1105.7966331,68.3782362638,260.021535884,550.381401721
4.885,-1099.12131282,68.3932102788,252.411221095,550.777807086
4.901,-1092.44948938,67.0835788107,252.613715186,526.066495355
4.917,-1091.83783579,68.188053044,261.013357757,538.701243685
4.933,-1086.18374463,70.6617908056,258.615026738,560.226947976
4.949,-1083.24150546,67.5530720926,251.844383143,534.901230334
4.965,-1076.49815536,66.1141678007,251.131463003,500.850594785
4.981,-1074.40416164,67.0706068435,245.300444017,498.176334941
4.997,-1069.65878581,68.0027489918,245.556362917,516.048564809
5.013,-1067.92008897,67.3828319755,250.039852225,514.756210689
